No,VMI,VME,SSA
823,1.28,0.42,3180
824,1.28,0.42,3180
825,0.64,0.19,1510
826,0.64,0.19,1510
827,0.64,0.19,1510
828,0.64,0.19,1510
829,0.64,0.19,1510
830,1.18,0.36,2900
831,1.18,0.36,2900
832,1.18,0.36,2900
833,1.18,0.36,2900
834,1.18,0.36,2900
835,1.18,0.36,2900
836,1.18,0.36,2900
837,1.18,0.36,2900
838,1.18,0.36,2900
839,1.18,0.36,2900
840,1.18,0.36,2900
841,1.18,0.36,2900
842,1.18,0.36,2900
843,1.18,0.36,2900
844,1.18,0.36,2900
845,1.18,0.36,2900
846,1.18,0.36,2900
847,0.3,0.14,730
848,0.3,0.14,730
849,0.3,0.14,730
850,0.3,0.14,730
851,0.3,0.14,730
852,0.3,0.14,730
853,0.3,0.14,730
854,0.3,0.14,730
855,0.3,0.14,730
856,0.3,0.14,730
857,0.3,0.14,730
858,0.3,0.14,730
859,0.3,0.14,730
860,0.3,0.14,730
861,0.3,0.14,730
862,0.08,0.04,218
863,0.08,0.04,218
864,0.08,0.04,218
865,0.08,0.04,218
866,0.08,0.04,218
867,0.08,0.04,218
868,0.267,0.066,671.17
869,0.267,0.066,671.17
870,0.267,0.066,671.17
871,0.267,0.066,671.17
872,0.267,0.066,671.17
873,0.267,0.066,671.17
874,0.267,0.066,671.17
875,0.267,0.066,671.17
876,0.267,0.066,671.17
877,0.267,0.066,671.17
878,0.267,0.066,671.17
879,0.267,0.066,671.17
880,0.267,0.066,671.17
881,0.267,0.066,671.17
882,0.267,0.066,671.17
883,0.267,0.066,671.17
884,0.267,0.066,671.17
885,0.267,0.066,671.17
886,0.267,0.066,671.17
887,0.267,0.066,671.17
888,0.267,0.066,671.17
889,0.267,0.066,671.17
890,0.267,0.066,671.17
891,0.267,0.066,671.17
892,0.267,0.066,671.17
893,0.267,0.066,671.17
894,0.267,0.066,671.17
895,0.267,0.066,671.17
896,0.267,0.066,671.17
897,0.328,0.157,801
898,0.328,0.157,801
899,0.328,0.157,801
900,0.328,0.157,801
901,0.328,0.157,801
902,0.328,0.157,801
903,0.328,0.157,801
904,0.328,0.157,801
905,0.328,0.157,801
906,0.328,0.157,801
907,0.328,0.157,801
