No,SSA,VMI,VME,T,P,G
427,1683,0.61,0.2,50,8.4,3.929
428,1683,0.61,0.2,50,12.11,4.739
429,1683,0.61,0.2,50,16.62,5.413
430,1683,0.61,0.2,50,21.17,6.018
431,1683,0.61,0.2,50,25.62,6.492
432,1683,0.61,0.2,50,29.96,6.879
433,1378,0.45,0.54,30,0.18,0.1
434,1378,0.45,0.54,30,0.64,0.384
435,1378,0.45,0.54,30,1.06,0.606
436,1378,0.45,0.54,30,2.82,1.363
437,1378,0.45,0.54,30,5.87,2.317
438,1378,0.45,0.54,30,9.68,3.074
439,1378,0.45,0.54,30,13.61,3.762
440,1378,0.45,0.54,30,17.61,4.357
441,1378,0.45,0.54,30,22.09,4.917
442,1378,0.45,0.54,30,26.41,5.36
443,1378,0.45,0.54,30,30.74,5.768
444,1378,0.45,0.54,50,0.32,0.131
445,1378,0.45,0.54,50,0.67,0.272
446,1378,0.45,0.54,50,1.12,0.443
447,1378,0.45,0.54,50,2.71,0.934
448,1378,0.45,0.54,50,5.9,1.671
449,1378,0.45,0.54,50,9.69,2.369
450,1378,0.45,0.54,50,13.89,2.934
451,1378,0.45,0.54,50,19.07,3.556
452,1378,0.45,0.54,50,24.62,4.076
453,1378,0.45,0.54,50,30.22,4.548
454,1323,0.48,0.16,30,0.26,0.336
455,1323,0.48,0.16,30,0.64,0.79
456,1323,0.48,0.16,30,1.03,1.22
457,1323,0.48,0.16,30,2.7,2.343
458,1323,0.48,0.16,30,5.78,3.67
459,1323,0.48,0.16,30,9.49,4.683
460,1323,0.48,0.16,30,13.67,5.474
461,1323,0.48,0.16,30,18.19,6.083
462,1323,0.48,0.16,30,23.87,6.635
463,1323,0.48,0.16,30,29.57,7.065
464,1323,0.48,0.16,50,0.22,0.242
465,1323,0.48,0.16,50,0.64,0.626
466,1323,0.48,0.16,50,1.1,0.974
467,1323,0.48,0.16,50,2.87,1.941
468,1323,0.48,0.16,50,5.99,3.074
469,1323,0.48,0.16,50,9.89,4.034
470,1323,0.48,0.16,50,14.03,4.783
471,1323,0.48,0.16,50,18.51,5.38
472,1323,0.48,0.16,50,24.06,5.924
473,1323,0.48,0.16,50,30.27,6.351
474,982,0.36,0.2,30,0.19,0.398
475,982,0.36,0.2,30,0.48,0.941
476,982,0.36,0.2,30,0.99,1.6
477,982,0.36,0.2,30,2.58,2.884
478,982,0.36,0.2,30,5.92,4.32
479,982,0.36,0.2,30,9.86,5.23
480,982,0.36,0.2,30,14.28,5.821
481,982,0.36,0.2,30,18.47,6.165
482,982,0.36,0.2,30,23.86,6.333
483,982,0.36,0.2,30,29.85,6.338
484,982,0.36,0.2,50,2.03,1.798
485,982,0.36,0.2,50,5.45,3.144
486,982,0.36,0.2,50,9.89,4.071
487,982,0.36,0.2,50,14.28,4.605
488,982,0.36,0.2,50,18.47,4.91
489,982,0.36,0.2,50,23.86,5.048
490,982,0.36,0.2,50,29.86,4.999
491,1044,0.46,0.04,25,0.282,0.621
492,1044,0.46,0.04,25,0.6,1.05
493,1044,0.46,0.04,25,1,1.459
494,1044,0.46,0.04,25,2,2.123
495,1044,0.46,0.04,25,4,2.903
496,1044,0.46,0.04,25,7,3.56
497,1044,0.46,0.04,25,10,3.962
498,1044,0.46,0.04,25,15,4.376
499,1044,0.46,0.04,25,20,4.631
